mese_label,mese_iso,prezzo_m2,var_mensile_pct,var_trimestrale_pct,var_annuale_pct,prezzo_label,var_mensile_label,var_trimestrale_label,var_annuale_label
Maggio 2014,2014-05-01,9.61539,3.02207,-8.81997,-11.2423,"9,6 €/m2","+ 3,0 %","- 8,8 %","- 11,2 %"
Aprile 2014,2014-04-01,9.33333,,-11.4947,-13.8459,"9,3 €/m2",N/A,"- 11,5 %","- 13,8 %"
Marzo 2014,2014-03-01,9.33333,-11.4947,-10.4003,-13.3331,"9,3 €/m2","- 11,5 %","- 10,4 %","- 13,3 %"
Febbraio 2014,2014-02-01,10.5455,,5.455,-2.07722,"10,5 €/m2",N/A,"+ 5,5 %","- 2,1 %"
Gennaio 2014,2014-01-01,10.5455,1.23648,-0.748235,-0.305357,"10,5 €/m2","+ 1,2 %","- 0,7 %","- 0,3 %"
Dicembre 2013,2013-12-01,10.4167,4.167,-2.34374,-3.51066,"10,4 €/m2","+ 4,2 %","- 2,3 %","- 3,5 %"
Novembre 2013,2013-11-01,10.0,-5.88235,-6.7799,-7.43055,"10,0 €/m2","- 5,9 %","- 6,8 %","- 7,4 %"
Ottobre 2013,2013-10-01,10.625,-0.390936,-1.62037,-1.92278,"10,6 €/m2","- 0,4 %","- 1,6 %","- 1,9 %"
Settembre 2013,2013-09-01,10.6667,-0.564914,-1.53785,1.58762,"10,7 €/m2","- 0,6 %","- 1,5 %","+ 1,6 %"
Agosto 2013,2013-08-01,10.7273,-0.673148,-0.978465,2.16476,"10,7 €/m2","- 0,7 %","- 1,0 %","+ 2,2 %"
Luglio 2013,2013-07-01,10.8,-0.307386,-0.307386,0.799866,"10,8 €/m2","- 0,3 %","- 0,3 %","+ 0,8 %"
Giugno 2013,2013-06-01,10.8333,,0.595216,,"10,8 €/m2",N/A,"+ 0,6 %",N/A
Maggio 2013,2013-05-01,10.8333,,0.595216,,"10,8 €/m2",N/A,"+ 0,6 %",N/A
Aprile 2013,2013-04-01,10.8333,0.595216,2.41544,,"10,8 €/m2","+ 0,6 %","+ 2,4 %",N/A
Marzo 2013,2013-03-01,10.7692,,-0.245468,,"10,8 €/m2",N/A,"- 0,2 %",N/A
