AREA;SOTTOAREA;STATO;QUARTIERE;ZONA;CENTRO_STORICO;SETTORE;BOTTEGA_STORICA;LATITUDINE;LONGITUDINE;DATA_INIZIO_ATTIVITA;DATA_CESSAZIONE_ATTIVITA;TIPOLOGIA_ESERCIZIO;ESERCIZIO_VIA;CIVICO;AREA STATISTICA;ATTIVITA_PREVALENTE_ESERCIZIO;ATTIVITA_SECONDARIA_ESERCIZIO;INSERITO_IN_CENTRO_COMMERCALE;geopoint
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.50356453;11.34100954;2020-02-04;2020-04-07;Intermediazione Da Parte Di Agenzie Immobiliari Nella Locazione Di Appartamenti Ammobiliati A Turisti;VIA MILAZZO;5;MARCONI-2;;;;44.50356453, 11.34100954
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Murri;;;;44.48890708;11.36057863;2004-04-28;2005-06-09;Bed & Breakfast;VIA MAZZINI;54 Int. 2;MEZZOFANTI;;BED AND BREAKFAST;;44.48890708, 11.36057863
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Murri;;;;44.4875652;11.36411211;2019-06-24;;Appartamento Ammobiliato Per Uso Turistico;VIA MAZZINI;112 Int. 11;MEZZOFANTI;;;;44.4875652, 11.36411211
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Murri;;;;44.48822248;11.36431124;2019-10-16;2019-10-16;non definita;VIA MAZZINI;106/2 Int. 7;MEZZOFANTI;;;;44.48822248, 11.36431124
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;Santo Stefano;Irnerio;(centro storico);;;44.5001169;11.35090641;1990-04-10;1999-05-06;Affittacamere;VIA MASCARELLA;55;IRNERIO-2;;AFFITTACAMERE;;44.5001169, 11.35090641
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Santo Stefano;Irnerio;(centro storico);;;44.49749337;11.3447159;2016-12-05;;Case E Appartamenti Per Vacanze;VIA MARSALA;8 Int. 18;IRNERIO-1;;;;44.49749337, 11.3447159
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Santo Stefano;Irnerio;(centro storico);;;44.49640789;11.34829036;2015-02-26;;Case E Appartamenti Per Vacanze;VIA MARSALA;47 Int. 2;IRNERIO-1;;;;44.49640789, 11.34829036
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Santo Stefano;Irnerio;(centro storico);;;44.49640789;11.34829036;2015-02-26;;Case E Appartamenti Per Vacanze;VIA MARSALA;47 Int. 7;IRNERIO-1;;;;44.49640789, 11.34829036
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Murri;;;;44.47528523;11.37418116;2019-09-16;2019-12-13;Appartamento Ammobiliato Per Uso Turistico;VIA PARISIO;21;CHIESANUOVA;;;;44.47528523, 11.37418116
Attività ricettive;Strutture ricettive extralberghiere;Attivo;San Donato - San Vitale;S. Vitale;;;;44.49308366;11.36339976;2017-10-11;;Case E Appartamenti Per Vacanze;VIA PAOLO FABBRI;1/4 Int. 12;CIRENAICA;;;;44.49308366, 11.36339976
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Santo Stefano;Galvani;(centro storico);;;44.48848868;11.34070637;2019-08-25;;Case E Appartamenti Per Vacanze;VIA PAGLIA;3 Int. 3;GALVANI-2;;;;44.48848868, 11.34070637
